n,51,598325.72,1137941.5
n,51,600144.17,1146259.75
n,51,594155.65,1138452.9
n,51,594956.84,1137623.93
n,51,595323.54,1136751.91
n,51,598282.84,1142339.47
n,51,600565.18,1146902.24
n,51,596155.48,1137557.15
n,51,599497.42,1139901.14
n,51,596441.04,1137968.84
n,51,600072.1,1140250.61
n,51,595562.38,1137896.39
n,51,600086.45,1142800.92
n,51,600828.8,1148145.26
n,51,599016.16,1138895.97
n,51,598579.27,1138838.7
n,51,598343.75,1138649.29
n,51,598969.17,1138919.16
n,51,598602.4,1138969.51
n,51,598579.27,1138838.7
n,51,598890.81,1139640.66
n,51,599433.32,1142625.22
n,51,597071.07,1138721.16
n,51,598815.93,1142015.66
n,51,599357.76,1139758
n,51,598595.57,1140587.52
n,51,595557.45,1137978.09
n,51,599576.6,1138495.99
n,51,597552.86,1139340.65
n,51,595054.15,1137310.33
n,51,596115.42,1140595.5
n,51,595116.55,1137261.47
n,51,600278.32,1145358.6
n,51,597057.1,1140691.19
n,51,601200.95,1146596.57
n,51,600008.82,1144302.79
n,51,598489.27,1138710.39
n,51,599016.16,1138895.97
n,51,598755.74,1137942.71
n,51,598946.8,1138517.55
n,51,598444.86,1138193.97
n,51,598421.61,1138105.19
n,51,598924.11,1138232.67
n,51,599226.91,1139176.68
n,51,593985.25,1137149.71
n,51,598436.57,1138364.93
n,51,598289.75,1137987.51
n,51,595118.74,1138581.57
n,51,599486.68,1139961.8
n,51,596042.19,1137738.95
n,51,599497.42,1139901.14
n,51,596060.61,1137874.41
n,51,599173.24,1140705.6
n,51,596149.15,1142641.71
n,51,596103.64,1137608.37
n,51,596870.29,1140373.47
n,51,596075.35,1137640.98
n,51,596912.65,1141136.7
n,51,598007.8,1137770.19
n,51,597868.16,1138759.95
n,51,597916.27,1139833.36
n,51,599473.07,1138547.05
n,51,598364.73,1138277.79
n,51,598890.54,1138470.7
n,51,599941.4,1139118.01
n,51,599130.46,1141291.41
n,51,592607.41,1135661.17
n,51,598919.42,1140725.89
n,51,598906.45,1140742.2
n,51,598282.58,1138452.07
n,51,595206.87,1139011.37
n,51,596007.91,1138699.65
n,51,595280.51,1139581.21
n,51,600139.51,1146246.32
n,51,599497.42,1139901.14
n,51,596135.68,1137921.31
n,51,599731.6,1141003.66
n,51,600851.26,1148301.11
n,51,596084.29,1137809.1
n,51,600495.82,1139981.02
n,51,598427.97,1142112.28
n,51,599061.39,1142864.55
n,51,601006.26,1147909.46
n,51,599477.78,1138542.4
n,51,598651.77,1138147.86
n,51,599276.03,1138425.1
n,51,598758.99,1138456.32
n,51,599259.83,1139167.44
n,51,598519.54,1138376.28
n,51,598656.53,1138124.53
n,51,594112.14,1137145.41
n,51,597889.64,1137587.76
n,51,598282.58,1138452.07
n,51,598170.41,1138649.61
n,51,594471.6,1139798.46
n,51,598213.43,1137760.84
n,51,600707.13,1148791.98
n,51,601093.43,1146612.02
n,51,596789.9,1140767.78
n,51,596372.33,1141584.85
n,51,596264.99,1142169.32
n,51,600191.62,1140724.77
n,51,599099.62,1143054.9
n,51,599016.16,1138895.97
n,51,599016.16,1138895.97
n,51,599016.16,1138895.97
n,51,597550.62,1141187.76
n,51,596967.7,1138730.31
n,51,597956.21,1139837.27
n,51,598519.54,1138376.28
n,51,598730.98,1138390.88
n,51,593900.64,1137144.85
n,51,594209.06,1136043.71
n,51,598778.45,1138221.76
n,51,600816.24,1149439.94
n,51,600390.22,1150544.93
n,51,597057.1,1140691.19
n,51,598374.66,1141436.34
n,51,596264.99,1142169.32
n,51,596021.63,1140952.42
n,51,599016.16,1138895.97
n,51,598579.27,1138838.7
n,51,598438.82,1138651.55
n,51,598760.84,1139066
n,51,593446.46,1136576.44
n,51,598684.25,1140803.42
n,51,599273.31,1138568.58
n,51,598366.57,1140134.89
n,51,599148.33,1142862.46
n,51,596202.77,1137474.54
n,51,598436.57,1138364.93
n,51,595840.93,1137434.89
n,51,596018.14,1137939.66
n,51,599552.66,1140309.82
n,51,596360.3,1142222.98
n,51,596666.25,1141116.02
n,51,596739.97,1141001.22
n,51,598669.61,1138460.77
n,51,598669.61,1138460.77
n,51,598489.27,1138710.39
n,51,598602.4,1138969.51
n,51,598340.3,1140283.02
n,51,597923.66,1140656.56
n,51,598005.25,1140783.43
n,51,598694.27,1138073.27
n,51,598360.03,1138277.78
n,51,599427.08,1138192.07
n,51,593413.41,1136550.56
n,51,593661.96,1136752.02
n,51,593991.4,1136584.81
n,51,595112.98,1138973.76
n,51,598342.25,1137704.3
n,51,594037.06,1137084.57
n,51,598436.57,1138364.93
n,51,593371.63,1136349.7
n,51,598428.51,1138364.93
n,51,593160.22,1136344.36
n,51,594292.56,1136473.46
n,51,596450.31,1138015.56
n,51,600290.28,1140370.29
n,51,599173.24,1140705.6
n,51,596880.72,1142121.41
n,51,595776.77,1139950.25
n,51,596390.72,1142586.35
n,51,596618.09,1139761.03
n,51,598438.82,1138651.55
n,51,598438.82,1138651.55
n,51,599016.16,1138895.97
n,51,598848.99,1141127.21
n,51,597874.96,1138641.49
n,51,599720.94,1138972.64
n,51,599343.19,1137944.37
n,51,598571.77,1138184.99
n,51,599542.83,1138804.05
n,51,598228.69,1140702.94
n,51,596202.77,1139192.98
n,51,597065.64,1139000.21
n,51,598282.58,1138452.07
n,51,595477.52,1137994.22
n,51,596488.12,1137936.28
n,51,600495.82,1139981.02
n,51,599498.25,1139611.67
n,51,598438.82,1138651.55
n,51,594022.59,1135543.71
n,51,597830.95,1139884.78
n,51,599126.24,1138214.57
n,51,598825.88,1138068.97
n,51,594607.69,1138131.94
n,51,594544.02,1138262.62
n,51,599229.08,1139656.43
n,51,594076.16,1136547.6
n,51,595003.89,1137605.38
n,51,594774.06,1137436.66
n,51,599061.39,1142864.55
n,51,599789.13,1143076.7
n,51,598942.36,1140924.38
n,51,596650.63,1140991.2
n,51,596026.1,1141000.18
n,51,598579.27,1138838.7
n,51,598343.75,1138649.29
n,51,598747.74,1139109.97
n,51,598579.27,1138838.7
n,51,599318.79,1139934.44
n,51,600014.16,1144914.49
n,51,597316.38,1138399.18
n,51,598928.8,1140939.52
n,51,597960.77,1138623.34
n,51,598716.92,1138376.83
n,51,598207.2,1137990.79
n,51,600350.56,1147398.76
n,51,593802.13,1135290.87
n,51,593991.4,1136584.81
n,51,600078.83,1144571.13
n,51,593671.07,1136882.71
n,51,600326.35,1140083.26
n,51,599801.79,1140287.19
n,51,599173.24,1140705.6
n,51,596026.23,1141520.57
n,51,596235.33,1140993.86
n,51,596149.71,1140620.69
n,51,596346.42,1140437.97
n,51,598438.82,1138651.55
n,51,598438.82,1138651.55
n,51,598747.74,1139109.97
n,51,598449.83,1138095.93
n,51,598840.01,1138055.01
n,51,595153.41,1139660.23
n,51,594630.61,1138346.79
n,51,595992.18,1138836.09
n,51,598311.66,1142115.46
n,51,596419.55,1138944.65
n,51,599060.69,1143113.14
n,51,594289.2,1135969.16
n,51,600147.89,1140862.45
n,51,600495.82,1139981.02
n,51,599497.42,1139901.14
n,51,596548.5,1141606.34
n,51,596322.63,1142569.82
n,51,598349.33,1142087.55
n,51,598216.84,1138658.27
n,51,598438.82,1138651.55
n,51,598438.82,1138651.55
n,51,598759.55,1139523.56
n,51,593991.4,1136584.81
n,51,599205.53,1138429.57
n,51,598938.28,1138204.7
n,51,598830.6,1138059.65
n,51,599371.37,1137949.12
n,51,600473.1,1149501.96
n,51,594678.5,1135008.48
n,51,598144.67,1140501.94
n,51,600096.83,1144744.2
n,51,593643.43,1136663.2
n,51,595769.8,1137663.49
n,51,594319.02,1135357.55
n,51,593764.12,1137223.88
n,51,600646.61,1146362.15
n,51,597947.85,1142405.06
n,51,599061.39,1142864.55
n,51,599173.24,1140705.6
n,51,600495.82,1139981.02
n,51,600072.1,1140250.61
n,51,599173.24,1140705.6
n,51,597057.1,1140691.19
n,51,600495.82,1139981.02
n,51,596264.99,1142169.32
n,51,597057.1,1140691.19
n,51,596297.59,1138860.27
n,51,597584.65,1138048.58
n,51,598106.03,1139932.23
n,51,598942.92,1138228.06
n,51,598364.73,1138277.79
n,51,599435.48,1138467.57
n,51,598477.33,1140855.37
n,51,600949.86,1149129.93
n,51,595769.8,1137663.49
n,51,593671.07,1136882.71
n,51,593665.51,1137569.82
n,51,600191.62,1140724.77
n,51,600158.91,1140295.21
n,51,596387.72,1141970.06
n,51,598328.02,1142148.18
n,51,595075.17,1138184.57
n,51,599435.48,1138467.57
n,51,598224.1,1139404.91
n,51,598801.54,1138367.73
n,51,599055.29,1138377.78
n,51,598552.92,1138203.61
n,51,598355.31,1138282.43
n,51,598303.1,1138150.97
n,51,594969.32,1139958.55
n,51,599248.75,1139345.99
n,51,598331.96,1141580.95
n,51,596874.78,1139620.66
n,51,600389.86,1146598.31
n,51,600575.87,1141559.32
n,51,599852.01,1143270.62
n,51,598669.61,1138460.77
n,51,599099.56,1141529.73
n,51,599029.74,1140764.72
n,51,596930.08,1138950.81
n,51,597557.98,1139189.51
n,51,599195.64,1138602.3
n,51,594816.2,1134922.47
n,51,598433.17,1137751.54
n,51,598428.51,1140669.65
n,51,600153.48,1144653.33
n,51,600104.83,1146051.32
n,51,595726.68,1137966.88
n,51,594097.21,1136641.21
n,51,596739.97,1141001.22
n,51,598438.82,1138651.55
n,51,595983.37,1142902.7
n,51,598438.82,1138651.55
n,51,598669.61,1138460.77
n,51,596148.45,1141079.12
n,51,596297.59,1138860.27
n,51,599245.55,1139232.76
n,51,596797.73,1139015.81
n,51,598282.58,1138452.07
n,51,598729.32,1141481.69
n,51,598104.69,1138415.38
n,51,599154.32,1141994.12
n,51,598146.38,1139892.66
n,51,595609.31,1137919.87
n,51,598271.95,1139940.87
n,51,600161.86,1146640.83
n,51,595496.45,1137942.91
